AREA_NAME,AREA_SHORT_CODE,INT_ID
Toronto-St. Paul's,12,110
Parkdale-High Park,4,205
University-Rosedale,11,214
Parkdale-High Park,4,208
Willowdale,18,115
Davenport,9,209
Toronto-Danforth,14,222
Toronto-St. Paul's,12,109
University-Rosedale,11,103
Toronto Centre,13,103
Don Valley North,17,401
Parkdale-High Park,4,207
Don Valley West,15,113
Eglinton-Lawrence,8,113
Don Valley North,17,402
Eglinton-Lawrence,8,162
Scarborough Southwest,20,228
University-Rosedale,11,158
Etobicoke-Lakeshore,3,202
York Centre,6,164
Parkdale-High Park,4,206
Willowdale,18,114
University-Rosedale,11,108
Scarborough Southwest,20,227
Toronto Centre,13,105
Eglinton-Lawrence,8,161
University-Rosedale,11,215
Etobicoke-Lakeshore,3,200
Toronto-Danforth,14,221
Don Valley West,15,112
Eglinton-Lawrence,8,112
University-Rosedale,11,213
Davenport,9,210
University-Rosedale,11,107
Don Valley North,17,403
University-Rosedale,11,157
University-Rosedale,11,154
University-Rosedale,11,106
Don Valley North,17,404
University-Rosedale,11,217
Parkdale-High Park,4,203
Scarborough Centre,21,304
Toronto-Danforth,14,218
Beaches-East York,19,223
Beaches-East York,19,225
Toronto-St. Paul's,12,159
University-Rosedale,11,155
York Centre,6,165
University-Rosedale,11,212
Etobicoke-Lakeshore,3,201
Toronto-St. Paul's,12,111
Toronto-St. Paul's,12,160
Eglinton-Lawrence,8,160
Scarborough Centre,21,302
Willowdale,18,116
Scarborough Centre,21,301
University-Rosedale,11,211
Davenport,9,211
Scarborough Centre,21,303
Toronto Centre,13,102
University-Rosedale,11,156
University-Rosedale,11,153
Spadina-Fort York,10,153
Spadina-Fort York,10,152
University-Rosedale,11,104
Toronto Centre,13,104
Toronto Centre,13,101
Spadina-Fort York,10,151
Beaches-East York,19,224
Toronto Centre,13,216
Scarborough-Guildwood,24,305
Toronto-Danforth,14,219
Scarborough Southwest,20,226
Etobicoke-Lakeshore,3,204
Toronto-Danforth,14,220
Eglinton-Lawrence,8,163
Davenport,9,13465703
York Centre,6,13454197
Scarborough Southwest,20,13454827
Scarborough-Rouge Park,25,14606950
Scarborough-Rouge Park,25,13447211
Scarborough-Guildwood,24,13447211
York South-Weston,5,13462698
Spadina-Fort York,10,13467923
Etobicoke North,1,13454806
Beaches-East York,19,14232506
Scarborough-Rouge Park,25,13444973
Beaches-East York,19,13459820
Scarborough-Rouge Park,25,13444084
Scarborough Southwest,20,13454337
Scarborough-Rouge Park,25,13444687
Scarborough Southwest,20,13454867
Scarborough Southwest,20,13450997
Scarborough-Guildwood,24,13450997
Scarborough-Rouge Park,25,13444869
Scarborough Southwest,20,13451513
Scarborough Centre,21,13451513
Scarborough Southwest,20,13455179
Scarborough-Guildwood,24,13448868
Scarborough Centre,21,13448868
Scarborough Southwest,20,13452476
Scarborough Centre,21,13452476
Scarborough-Rouge Park,25,13442514
Scarborough-Rouge Park,25,13442521
Scarborough Southwest,20,13457893
Scarborough Southwest,20,13452119
Scarborough Centre,21,13452119
Scarborough-Guildwood,24,13449204
Scarborough Centre,21,13449204
Scarborough-Guildwood,24,13446514
Scarborough-Guildwood,24,13446212
Scarborough-Guildwood,24,13445760
Scarborough-Rouge Park,25,13442606
Scarborough-Rouge Park,25,13443509
Scarborough North,23,13443509
University-Rosedale,11,13462168
Scarborough Southwest,20,13459028
Scarborough Southwest,20,13456762
Scarborough Southwest,20,13452053
Scarborough Centre,21,13452053
Scarborough Centre,21,13449501
Scarborough Southwest,20,13455585
Scarborough Southwest,20,13460017
Scarborough-Rouge Park,25,13441963
Scarborough-Guildwood,24,13446827
Scarborough Centre,21,13446827
Scarborough-Guildwood,24,13445553
Scarborough Centre,21,13449830
Scarborough North,23,13444590
Scarborough Southwest,20,13453221
Scarborough Centre,21,13453221
Scarborough North,23,13443955
Scarborough North,23,13442839
Etobicoke Centre,2,13462163
Etobicoke North,1,13451185
Scarborough Southwest,20,13455284
Scarborough North,23,13445175
Scarborough Centre,21,13450484
Scarborough Southwest,20,13458963
Scarborough Southwest,20,13458308
Scarborough Southwest,20,13456330
Scarborough-Rouge Park,25,13441850
Beaches-East York,19,13461728
Scarborough North,23,13443499
Scarborough North,23,13444901
Scarborough Southwest,20,14074105
Scarborough Centre,21,14074105
Scarborough North,23,13442174
Scarborough Southwest,20,13453588
Scarborough Centre,21,13453588
Scarborough North,23,14249068
Scarborough Centre,21,13447843
Beaches-East York,19,13463494
Scarborough North,23,13442631
Scarborough Centre,21,13450818
Beaches-East York,19,13457585
Scarborough Centre,21,13447496
Beaches-East York,19,13461342
Scarborough Southwest,20,13461342
Beaches-East York,19,13459236
Scarborough Centre,21,13452791
Beaches-East York,19,13463787
Beaches-East York,19,13460223
Scarborough Southwest,20,13460223
Scarborough North,23,14038170
Scarborough-Agincourt,22,14038170
Beaches-East York,19,13459445
Scarborough Southwest,20,13459445
Beaches-East York,19,13462643
Scarborough-Agincourt,22,13445476
Scarborough North,23,13444619
Scarborough Centre,21,13448199
Scarborough North,23,20364357
Scarborough Centre,21,13448838
Scarborough Centre,21,13448519
Scarborough Southwest,20,13454107
Scarborough Centre,21,13454107
Don Valley East,16,13454107
Beaches-East York,19,13456719
Scarborough Southwest,20,13453978
Scarborough Centre,21,13453978
Scarborough North,23,13443810
Scarborough North,23,13445219
Scarborough-Agincourt,22,13445219
Toronto-Danforth,14,13459805
Scarborough North,23,13441620
Scarborough North,23,13442502
Beaches-East York,19,13461602
Scarborough North,23,13443575
Scarborough Centre,21,13447673
Don Valley East,16,13454202
Scarborough Southwest,20,13454288
Don Valley East,16,13454288
Beaches-East York,19,13457092
Beaches-East York,19,13459010
Toronto-Danforth,14,13459010
Toronto-Danforth,14,13463183
Scarborough North,23,13441760
Beaches-East York,19,13459689
Toronto-Danforth,14,13459689
Scarborough North,23,13441867
Scarborough-Agincourt,22,13445746
Scarborough Centre,21,13449013
