stop_id,stop_name,stop_lat,stop_lon
110,DAVISVILLE STATION ,43.697748,-79.396989
205,RUNNYMEDE STATION ,43.652048,-79.475991
214,SPADINA STATION ,43.667249,-79.403889
208,DUNDAS WEST STATION ,43.657023,-79.452723
115,NORTH YORK CENTRE STATION ,43.767867,-79.412755
209,LANSDOWNE STATION ,43.659246,-79.442463
222,GREENWOOD STATION ,43.682648,-79.330286
109,ST CLAIR STATION ,43.687748,-79.392589
103,DUNDAS STATION ,43.656517,-79.381225
401,BAYVIEW STATION ,43.766871,-79.386703
207,KEELE STATION ,43.655248,-79.459891
113,YORK MILLS STATION ,43.744847,-79.40649
402,BESSARION STATION ,43.769201,-79.376311
162,LAWRENCE WEST STATION ,43.716347,-79.444191
228,KENNEDY STATION ,43.732248,-79.263884
158,DUPONT STATION ,43.674303,-79.407119
202,ROYAL YORK STATION ,43.648348,-79.510993
164,WILSON STATION ,43.734547,-79.450792
206,HIGH PARK STATION ,43.654003,-79.466748
114,SHEPPARD-YONGE STATION ,43.761647,-79.411691
108,SUMMERHILL STATION ,43.682634,-79.391176
227,WARDEN STATION ,43.711648,-79.279585
105,WELLESLEY STATION ,43.665348,-79.383388
161,GLENCAIRN STATION ,43.708582,-79.440796
215,BAY STATION ,43.669946,-79.391129
200,KIPLING STATION ,43.637148,-79.535993
221,DONLANDS STATION ,43.681048,-79.337786
112,LAWRENCE STATION ,43.725948,-79.40269
213,BATHURST STATION ,43.666448,-79.411189
210,DUFFERIN STATION ,43.660199,-79.435477
107,ROSEDALE STATION ,43.676748,-79.388788
403,LESLIE STATION ,43.770847,-79.367789
157,SPADINA STATION ,43.670249,-79.405189
154,QUEEN'S PARK STATION ,43.659834,-79.39069
106,BLOOR-YONGE STATION ,43.671043,-79.385918
404,DON MILLS STATION ,43.775547,-79.346589
217,CASTLE FRANK STATION ,43.673748,-79.368988
203,JANE STATION ,43.650148,-79.483892
304,SCARBOROUGH CENTRE STATION ,43.774648,-79.257285
218,BROADVIEW STATION ,43.676948,-79.358387
223,COXWELL STATION ,43.684148,-79.322786
225,MAIN STREET STATION ,43.688948,-79.301585
159,ST CLAIR WEST STATION ,43.684048,-79.41589
155,MUSEUM STATION ,43.666621,-79.393467
165,SHEPPARD WEST STATION ,43.750204,-79.462781
212,CHRISTIE STATION ,43.664275,-79.418395
201,ISLINGTON STATION ,43.645147,-79.524192
111,EGLINTON STATION ,43.705227,-79.398648
160,EGLINTON WEST STATION ,43.699148,-79.436091
302,ELLESMERE STATION ,43.766714,-79.276507
116,FINCH STATION ,43.780847,-79.415291
301,LAWRENCE EAST STATION ,43.750475,-79.270436
211,OSSINGTON STATION ,43.662448,-79.42629
303,MIDLAND STATION ,43.7704,-79.272179
102,QUEEN STATION ,43.652738,-79.379616
156,ST GEORGE STATION ,43.668848,-79.398089
153,ST PATRICK STATION ,43.654618,-79.388225
152,OSGOODE STATION ,43.651122,-79.386959
104,COLLEGE STATION ,43.660789,-79.383103
101,KING STATION ,43.649061,-79.378109
151,ST ANDREW STATION ,43.647605,-79.385004
224,WOODBINE STATION ,43.686548,-79.312686
216,SHERBOURNE STATION ,43.672103,-79.376161
305,MCCOWAN STATION ,43.774882,-79.251654
219,CHESTER STATION ,43.678239,-79.352497
226,VICTORIA PARK STATION ,43.694448,-79.288985
204,OLD MILL STATION ,43.650148,-79.495092
220,PAPE STATION ,43.680148,-79.344787
163,YORKDALE STATION ,43.724595,-79.447693
13465703,Dufferin St / Dufferin Park Ave,43.6571226,-79.434313454
13454197,Wilson Ave / Keele St,43.726642385,-79.482069737
13454827,Comstock Rd / Pharmacy Ave,43.719317857,-79.29492452
14606950,Staines Rd / Finch Ave E / Morningside Ave,43.819698288,-79.221072211
13447211,Lawrence Ave E / Morningside Ave,43.768408999,-79.186225546
13462698,Jane St / Alliance Ave,43.676201328,-79.4957082
13467923,Queens Quay E / Yonge St / Queens Quay W / Martin Goodman Trl,43.641928695,-79.374709353
13454806,Islington Ave / Elmhurst Dr,43.72311204,-79.558922173
14232506,Gerrard St E / Ted Reeve Dr,43.684535053,-79.297422945
13444973,Meadowvale Rd / Lawson Rd,43.785301127,-79.16069085
13459820,Danforth Ave / Dawes Rd,43.689305049,-79.296771644
13444084,Meadowvale Rd / Ellesmere Rd,43.792487146,-79.163565701
13454337,Kingston Rd / St Clair Ave E,43.72203282,-79.236019123
13444687,Ellesmere Rd / Conlins Rd,43.787851884,-79.183257088
13454867,Kingston Rd / Brimley Rd / Brimley Rd S,43.718226344,-79.240363427
13450997,Markham Rd / Eglinton Ave E,43.743182014,-79.218913538
13444869,Ellesmere Rd / Military Trl,43.78657849,-79.188310594
13451513,Eglinton Ave E / Bellamy Rd N,43.740260716,-79.232053988
13455179,Kennedy Rd / St Clair Ave E,43.716525807,-79.261334057
13448868,Lawrence Ave E / Bellamy Rd N,43.757721789,-79.235267231
13452476,Eglinton Ave E / Midland Ave,43.734530683,-79.25810431
13442514,Morningside Ave / McLevin Ave / Casebridge Crt,43.808934294,-79.2027244
13442521,Sheppard Ave E / Meadowvale Rd,43.808376217,-79.170811425
13457893,Birchmount Rd / Highview Ave,43.699929187,-79.265192487
13452119,Brimley Rd / Eglinton Ave E,43.736696453,-79.248084587
13449204,McCowan Rd / Lawrence Ave E,43.755548525,-79.245422779
13446514,Ellesmere Rd / Bellamy Rd N,43.774334937,-79.241759809
13446212,Ellesmere Rd / Markham Rd,43.776436249,-79.231756836
13445760,Progress Ave / Bellamy Rd N / Corporate Dr,43.780154285,-79.243842843
13442606,Sewell's Rd / Brenyon Way,43.807799751,-79.215595839
13443509,Sheppard Ave E / Neilson Rd,43.798122393,-79.217665862
13462168,Rosedale Rd / Crescent Rd,43.677744968,-79.384890021
13459028,Kingston Rd / Birchmount Rd,43.69304667,-79.262333902
13456762,Danforth Rd / Birchmount Rd,43.706998942,-79.268130023
13452053,Danforth Rd / Eglinton Ave E,43.737097293,-79.246164069
